,id,last_scraped,host_id,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_90,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,license,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
899,25324358,2024-09-18,20672298,Ikem,2014-08-29,"Boston, MA",,1.0,0.9,f,1,2,t,t,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,35.0,91,181,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,30,90,2024-09-18,8,0,0,2018-06-16,2019-03-05,5.0,4.88,4.75,5.0,5.0,,t,0,1,0,0.1
900,25326962,2024-09-18,183805757,Claire,2018-04-11,"Boston, MA",within a few hours,0.92,0.93,f,3,4,t,t,Private room in townhouse,Private room,2,2.0,2 shared baths,4.0,4.0,99.0,2,28,1.0,4.0,28.0,28.0,2.4,28.0,t,1,34,2024-09-18,446,59,3,2018-05-27,2024-08-30,4.72,4.82,4.66,4.96,4.84,STR-398959,f,0,3,0,5.8
901,25328440,2024-09-18,183805757,Claire,2018-04-11,"Boston, MA",within a few hours,0.92,0.93,f,3,4,t,t,Private room in townhouse,Private room,2,2.0,2 shared baths,1.0,1.0,98.0,2,28,1.0,3.0,28.0,28.0,2.3,28.0,t,2,34,2024-09-18,439,60,4,2018-05-28,2024-09-02,4.69,4.8,4.6,4.92,4.83,STR-398959,f,0,3,0,5.71
902,25416313,2024-09-18,156053359,Ken,2017-10-24,"Boston, MA",within an hour,1.0,0.8,t,8,10,t,t,Private room in condo,Private room,3,1.5,1.5 baths,1.0,2.0,49.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,30,90,2024-09-18,11,1,0,2018-06-28,2023-10-05,4.73,4.91,4.64,5.0,4.91,,f,0,8,0,0.15
903,25429787,2024-09-18,191880,Fabien,2010-08-05,"Boston, MA",within a few hours,1.0,0.96,t,1,1,t,t,Private room in condo,Private room,4,1.0,1 shared bath,2.0,2.0,128.0,4,31,4.0,4.0,31.0,31.0,4.0,31.0,t,0,17,2024-09-18,77,13,0,2019-10-12,2024-07-03,5.0,4.94,4.94,4.97,4.92,STR-511486,f,0,1,0,1.28
904,25476466,2024-09-18,9529655,Suzanne,2013-10-20,"Boston, MA",,1.0,0.9,f,7,9,t,t,Entire condo,Entire home/apt,1,1.0,1 bath,1.0,1.0,235.0,92,1125,92.0,92.0,1125.0,1125.0,92.0,1125.0,t,27,87,2024-09-18,0,0,0,,,5.0,4.94,4.94,4.97,4.92,,f,4,0,0,
905,25531778,2024-09-18,3201643,Michael,2012-08-08,"Boston, MA",,1.0,0.9,f,4,4,t,t,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,30.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,30,90,2024-09-18,0,0,0,,,5.0,4.94,4.94,4.97,4.92,STR-436505,f,0,2,0,
906,25576444,2024-09-18,34719298,Michael,2015-06-01,"Boston, MA",within an hour,1.0,1.0,t,1,1,t,t,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,305.0,2,1125,1.0,3.0,1125.0,1125.0,2.5,1125.0,,1,52,2024-09-18,193,29,6,2018-06-08,2024-09-11,4.94,4.97,4.95,4.96,4.95,,t,1,0,0,2.52
907,25770647,2024-09-18,1911807,Kelly & Chris,2012-03-12,"Boston, MA",within an hour,1.0,0.98,t,2,2,t,t,Entire loft,Entire home/apt,4,1.0,1 bath,1.0,2.0,420.0,2,1124,1.0,7.0,1125.0,1125.0,2.1,1125.0,t,4,50,2024-09-18,378,65,6,2018-06-11,2024-09-13,4.98,4.98,4.95,4.97,4.93,STR-413172,f,2,0,0,4.95
908,25775084,2024-09-18,62852803,Tina,2016-03-13,"Boston, MA",within an hour,1.0,0.0,f,1,1,t,f,Private room in home,Private room,3,1.5,1.5 shared baths,1.0,1.0,85.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,3,2024-09-18,27,0,0,2018-06-09,2022-08-26,4.85,4.81,4.7,4.96,4.78,STR-460484,t,0,1,0,0.35
909,25933888,2024-09-18,9073339,Elisangela,2013-09-26,"Boston, MA",within an hour,1.0,1.0,t,3,3,t,t,Entire loft,Entire home/apt,10,2.0,2 baths,2.0,10.0,300.0,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,7,51,2024-09-18,280,58,3,2018-07-15,2024-09-15,4.88,4.92,4.86,4.94,4.71,STR-398048,f,3,0,0,3.72
910,25947332,2024-09-18,152237835,Sabrina,2017-09-26,,,1.0,0.9,f,1,1,t,t,Entire rental unit,Entire home/apt,10,1.2,3 baths,3.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,0,0,2024-09-18,68,0,0,2018-07-09,2020-01-01,4.56,4.59,4.84,4.56,4.57,,f,1,0,0,0.9
911,25971732,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,0,0,0,,,4.56,4.59,4.84,4.56,4.57,,f,18,0,0,
912,25975436,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,2.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,1,0,0,2018-10-04,2018-10-04,4.0,4.0,4.0,1.0,5.0,,f,18,0,0,0.01
913,26005227,2024-09-18,432317,Julie,2011-03-09,"Boston, MA",,1.0,0.9,f,1,2,t,t,Entire condo,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,2024-09-18,46,0,0,2018-09-13,2022-05-29,4.96,4.98,4.89,4.98,4.98,STR-420982,f,1,0,0,0.63
914,26012594,2024-09-18,25203946,Eder,2014-12-25,"Boston, MA",within an hour,1.0,1.0,f,4,20,t,t,Entire home,Entire home/apt,16,1.2,2 baths,5.0,1.0,213.0,2,1125,2.0,4.0,1125.0,1125.0,3.5,1125.0,t,19,67,2024-09-18,73,9,0,2018-07-15,2024-06-13,4.7,4.53,4.81,4.9,4.49,STR-413525,f,4,0,0,0.97
915,26013456,2024-09-18,89328922,Ehab,2016-08-11,"Boston, MA",within an hour,1.0,0.93,t,13,19,t,t,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,92.0,1,28,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,14,66,2024-09-18,108,43,4,2018-10-07,2024-09-08,4.8,4.82,4.63,4.96,4.81,Exempt: This listing is a unit that has contracts with hospitals,f,0,13,0,1.49
916,26094005,2024-09-18,137105899,Ling,2017-06-26,"Boston, MA",within an hour,1.0,1.0,f,3,4,t,f,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,38.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,1,2024-09-18,6,1,1,2021-01-15,2024-08-31,4.83,5.0,4.5,5.0,4.83,,f,0,3,0,0.13
917,26102579,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,7,0,0,2018-09-08,2019-04-29,4.71,4.86,4.86,4.86,4.71,,f,18,0,0,0.1
918,26104302,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,3,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,1,0,0,2019-05-20,2019-05-20,5.0,5.0,5.0,3.0,5.0,,f,18,0,0,0.02
919,26104687,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,7,0,0,2019-03-03,2019-11-04,4.86,4.86,5.0,4.71,5.0,,f,18,0,0,0.1
920,26105250,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,7,0,0,2018-08-04,2019-09-18,4.86,4.71,5.0,4.86,4.71,,f,18,0,0,0.09
921,26105589,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,2,0,0,2018-08-09,2018-09-02,4.5,4.0,5.0,3.0,4.0,,f,18,0,0,0.03
922,26108847,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,4,0,0,2019-04-28,2019-08-17,4.5,4.5,3.75,4.5,4.75,,f,18,0,0,0.06
923,26109078,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,29,89,2024-09-18,5,0,0,2019-03-29,2019-12-08,4.8,4.8,5.0,4.8,5.0,,t,18,0,0,0.07
924,26109200,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,4,0,0,2019-04-01,2019-06-15,4.5,4.75,5.0,4.5,4.75,,f,18,0,0,0.06
925,26109264,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,0,0,0,,,4.5,4.75,5.0,4.5,4.75,,f,18,0,0,
926,26127318,2024-09-18,9529655,Suzanne,2013-10-20,"Boston, MA",,1.0,0.9,f,7,9,t,t,Entire condo,Entire home/apt,1,1.0,1 bath,1.0,1.0,265.0,91,1124,91.0,91.0,1124.0,1124.0,91.0,1124.0,t,27,87,2024-09-18,1,0,0,2018-08-15,2018-08-15,5.0,5.0,5.0,5.0,5.0,,f,4,0,0,0.01
927,26130154,2024-09-18,196415169,Josh & Whitney,2018-06-18,"Boston, MA",,1.0,0.9,f,1,1,t,t,Private room in townhouse,Private room,3,1.2,1.5 shared baths,1.0,1.0,213.0,2,6,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,0,0,2024-09-18,50,0,0,2018-07-21,2022-09-18,4.96,4.96,4.96,5.0,4.84,STR-398242,f,0,1,0,0.67
928,26130187,2024-09-18,38997,Michelle,2009-09-16,,within a few hours,0.89,0.55,f,22,29,t,t,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,1.0,100.0,32,1125,32.0,32.0,1125.0,1125.0,32.0,1125.0,t,0,42,2024-09-18,1,0,0,2019-06-01,2019-06-01,5.0,5.0,5.0,5.0,5.0,,f,13,0,0,0.02
929,26131758,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,0,0,0,,,5.0,5.0,5.0,5.0,5.0,,f,18,0,0,
930,26132354,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,0,0,0,,,5.0,5.0,5.0,5.0,5.0,,f,18,0,0,
931,26132566,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,1,0,0,2019-10-20,2019-10-20,5.0,5.0,5.0,5.0,5.0,,t,18,0,0,0.02
932,26160905,2024-09-18,196631266,Nakeisha,2018-06-19,"Boston, MA",within an hour,1.0,0.95,f,2,3,t,f,Entire rental unit,Entire home/apt,4,1.2,1 bath,3.0,1.0,213.0,29,365,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,41,2024-09-18,120,0,0,2018-06-26,2020-09-04,4.77,4.88,4.98,4.92,4.44,STR-420519,t,2,0,0,1.58
933,26163695,2024-09-18,153568352,Frederick Sabina,2017-10-06,"Massachusetts, United States",within an hour,1.0,0.96,f,4,5,t,t,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,130.0,2,28,2.0,2.0,28.0,28.0,2.0,28.0,t,18,78,2024-09-18,91,8,1,2018-08-31,2024-08-27,4.84,4.86,4.9,4.93,4.63,STR-445640,f,0,4,0,1.23
934,26207713,2024-09-18,80595835,Liviu,2016-06-28,"Boston, MA",within an hour,1.0,0.25,f,2,2,t,t,Private room in rental unit,Private room,1,1.0,1 shared bath,0.0,1.0,90.0,91,180,91.0,91.0,180.0,180.0,91.0,180.0,t,0,0,2024-09-18,4,0,0,2018-06-24,2018-10-01,4.5,4.5,4.25,4.25,4.25,,f,0,2,0,0.05
935,26252951,2024-09-18,110658696,Victoria,2017-01-09,"Cabrera, Dominican Republic",within an hour,1.0,0.92,t,2,2,t,t,Private room in guest suite,Private room,2,1.0,1 private bath,0.0,1.0,200.0,1,14,1.0,1.0,14.0,14.0,1.0,14.0,t,7,51,2024-09-18,84,12,0,2018-06-29,2024-07-21,4.94,4.96,4.95,4.95,4.88,STR-519059,f,0,1,0,1.11
936,26333739,2024-09-18,119265681,Maude,2017-03-05,"Boston, MA",within an hour,1.0,0.97,t,2,3,t,f,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,120.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,40,2024-09-18,57,3,0,2018-09-07,2024-06-30,4.96,4.95,4.91,5.0,4.98,,t,2,0,0,0.78
937,26361101,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire serviced apartment,Entire home/apt,3,1.2,1 bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,7,0,0,2018-09-15,2019-05-24,4.29,5.0,4.86,4.0,5.0,,f,18,0,0,0.1
938,26361743,2024-09-18,18202088,Luxurious,2014-07-16,"Boston, MA",,1.0,0.9,f,28,103,t,t,Entire rental unit,Entire home/apt,4,1.2,1 bath,2.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,2,0,0,2018-09-10,2019-06-01,5.0,5.0,5.0,3.5,5.0,,f,18,0,0,0.03
939,26395595,2024-09-18,145681148,Marianne,2017-08-12,"Boston, MA",within an hour,1.0,1.0,f,2,2,t,t,Entire rental unit,Entire home/apt,2,1.2,1 bath,2.0,1.0,213.0,1,64,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0,0,2024-09-18,98,0,0,2018-07-14,2021-10-11,4.84,4.89,4.94,4.96,4.95,STR-414689,t,2,0,0,1.3
940,26532751,2024-09-18,156053359,Ken,2017-10-24,"Boston, MA",within an hour,1.0,0.8,t,8,10,t,t,Private room in condo,Private room,1,1.5,1.5 shared baths,1.0,1.0,49.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,29,89,2024-09-18,3,0,0,2018-09-15,2019-07-25,5.0,4.67,4.67,5.0,4.67,,f,0,8,0,0.04
941,26750505,2024-09-18,105851798,Anne,2016-12-01,"Boston, MA",within an hour,1.0,0.99,,23,30,t,t,Private room in rental unit,Private room,1,2.0,2 shared baths,1.0,1.0,65.0,30,180,30.0,30.0,1125.0,1125.0,30.0,1125.0,t,26,84,2024-09-18,27,1,1,2018-08-04,2024-08-31,4.67,4.74,4.81,4.85,4.37,,f,0,12,0,0.36
942,26778714,2024-09-18,5430185,Laura And Olivia,2013-03-12,"Brookline, MA",within an hour,1.0,0.98,t,8,8,t,t,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,306.0,1,365,1.0,4.0,1125.0,1125.0,1.5,1125.0,t,4,57,2024-09-18,120,27,2,2018-12-21,2024-09-06,4.87,4.85,4.94,4.96,4.94,,f,7,0,0,1.72
943,26828892,2024-09-18,139072570,Lance And Shelly,2017-07-07,"Boston, MA",within an hour,1.0,1.0,t,5,5,t,f,Private room in rental unit,Private room,3,1.0,1 shared bath,1.0,3.0,79.0,1,21,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,0,32,2024-09-18,752,145,12,2018-07-18,2024-09-17,4.83,4.87,4.87,4.93,4.75,STR-398249,f,0,5,0,10.0
944,26849307,2024-09-18,201935605,Sherwin,2018-07-12,,within an hour,1.0,0.94,t,8,8,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,71.0,32,730,32.0,32.0,730.0,730.0,32.0,730.0,t,3,38,2024-09-18,57,6,1,2018-07-28,2024-09-08,4.67,4.86,4.55,4.98,4.8,,f,2,6,0,0.76
945,26849309,2024-09-18,201935605,Sherwin,2018-07-12,,within an hour,1.0,0.94,t,8,8,t,t,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,2.0,75.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,0,2024-09-18,55,0,0,2018-07-31,2022-03-31,4.78,4.95,4.76,4.96,4.75,,f,2,6,0,0.74
946,27074605,2024-09-18,156053359,Ken,2017-10-24,"Boston, MA",within an hour,1.0,0.8,t,8,10,t,t,Private room in condo,Private room,1,1.5,1.5 shared baths,1.0,1.0,49.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,28,88,2024-09-18,6,0,0,2019-05-11,2023-08-12,5.0,4.83,4.83,5.0,5.0,,f,0,8,0,0.09
947,27112752,2024-09-18,53212424,Jason,2016-01-03,"Boston, MA",,1.0,0.9,f,1,1,t,t,Entire condo,Entire home/apt,4,1.2,1 bath,2.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,14,0,0,2019-04-16,2019-07-10,4.86,4.86,4.93,5.0,4.86,,t,1,0,0,0.21
948,27158560,2024-09-18,42530911,Eda,2015-08-25,"Boston, MA",within an hour,1.0,0.93,t,1,1,t,t,Private room in condo,Private room,2,1.5,1.5 baths,1.0,1.0,174.0,2,14,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,6,40,2024-09-18,243,47,4,2018-08-03,2024-09-01,4.99,4.96,4.98,4.93,4.91,STR-540793,f,0,1,0,3.26
949,27168524,2024-09-18,23576640,Gearoid (Griff),2014-11-10,"Boston, MA",,1.0,0.9,f,2,4,t,t,Private room in home,Private room,2,2.5,2.5 shared baths,1.0,1.0,170.0,1,1125,1.0,2.0,1125.0,1125.0,1.4,1125.0,t,2,38,2024-09-18,396,76,5,2018-08-10,2024-09-02,4.89,4.95,4.78,4.99,4.98,STR-545901,f,0,2,0,5.32
950,27203329,2024-09-18,183805757,Claire,2018-04-11,"Boston, MA",within a few hours,0.92,0.93,f,3,4,t,t,Private room in townhouse,Private room,2,2.0,2 shared baths,1.0,1.0,101.0,2,14,1.0,3.0,14.0,14.0,2.2,14.0,t,4,32,2024-09-18,357,41,1,2018-08-10,2024-08-19,4.72,4.83,4.67,4.95,4.85,STR-398959,f,0,3,0,4.8
951,27252588,2024-09-18,163251048,Global Luxury,2017-12-19,,within an hour,0.71,0.99,f,182,972,t,t,Entire serviced apartment,Entire home/apt,3,1.2,1 bath,1.0,1.0,213.0,29,1125,29.0,30.0,1125.0,1125.0,29.0,1125.0,t,27,87,2024-09-18,4,0,0,2022-12-23,2023-08-02,4.5,4.25,4.25,4.25,4.5,Exempt: This listing is a unit that has contracts with hospitals,t,3,0,0,0.19
952,27323777,2024-09-18,95634275,Sophia,2016-09-18,"Boston, MA",within an hour,1.0,0.87,f,29,48,t,t,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,254.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,18,78,2024-09-18,81,5,1,2018-08-05,2024-08-30,4.72,4.8,4.6,4.94,4.96,Exempt: This listing is a unit used for furnished institutional or business stays,f,4,3,0,1.09
953,27339519,2024-09-18,202862511,Frank & Delilah,2018-07-16,"Boston, MA",within an hour,1.0,0.99,t,1,1,t,f,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,210.0,2,7,2.0,2.0,7.0,7.0,2.0,7.0,t,0,0,2024-09-18,390,59,7,2018-08-12,2024-09-16,4.93,4.97,4.97,4.97,4.79,STR-544885,f,1,0,0,5.25
954,27394276,2024-09-18,163838367,Jamie,2017-12-23,,,1.0,0.9,f,1,2,t,f,Private room in rental unit,Private room,2,1.2,1 shared bath,1.0,1.0,213.0,91,1125,91.0,91.0,1125.0,1125.0,91.0,1125.0,,0,0,2024-09-18,13,0,0,2018-08-09,2019-06-24,4.85,4.92,4.62,5.0,4.92,,f,0,1,0,0.17
955,27404136,2024-09-18,20079643,Alex @ Bcohousing,2014-08-15,"Boston, MA",within an hour,1.0,0.88,t,12,22,t,t,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,299.0,75,1125,4.0,75.0,1125.0,1125.0,57.0,1125.0,t,1,18,2024-09-18,19,0,0,2019-11-06,2023-09-01,4.68,4.89,4.84,4.95,4.74,Exempt: This listing is a unit used for furnished institutional or business stays,f,11,0,0,0.32
956,27501160,2024-09-18,101356888,Erik,2016-10-26,"Boston, MA",within a few hours,1.0,0.8,f,1,2,t,t,Entire condo,Entire home/apt,3,1.0,1 bath,1.0,1.0,99.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,3,2024-09-18,91,2,0,2018-08-15,2024-06-24,4.92,4.95,4.92,4.98,4.86,,f,1,0,0,1.23
957,27503398,2024-09-18,113533375,Devora,2017-01-27,,within an hour,1.0,0.97,,2,2,t,t,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,268.0,2,60,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,5,23,2024-09-18,304,70,7,2018-08-31,2024-09-13,4.96,4.95,4.96,4.97,4.82,STR-545072,f,1,0,0,4.12
958,27625974,2024-09-18,208469788,Kevin And Emily,2018-08-09,"Boston, MA",within an hour,0.9,0.78,t,2,2,t,t,Entire condo,Entire home/apt,2,1.2,1 bath,1.0,1.0,213.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,0,2024-09-18,11,0,0,2019-01-21,2021-12-21,5.0,5.0,5.0,5.0,5.0,,f,1,0,0,0.16
959,27639994,2024-09-18,23576640,Gearoid (Griff),2014-11-10,"Boston, MA",,1.0,0.9,f,2,4,t,t,Private room in home,Private room,1,2.5,2.5 shared baths,1.0,1.0,144.0,1,1125,1.0,2.0,1125.0,1125.0,1.4,1125.0,t,8,49,2024-09-18,228,60,2,2018-08-16,2024-09-13,4.93,4.97,4.87,4.98,4.98,STR-545901,f,0,2,0,3.07
960,27661676,2024-09-18,41210370,Rachel,2015-08-11,"Boston, MA",,1.0,0.9,f,1,1,t,t,Entire townhouse,Entire home/apt,6,1.2,2 baths,3.0,1.0,213.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,0,2024-09-18,59,0,0,2018-09-23,2020-08-09,5.0,4.97,4.98,5.0,4.92,STR-394166,f,1,0,0,0.81
961,27669626,2024-09-18,208829554,Ping,2018-08-11,"Boston, MA",within an hour,1.0,1.0,f,5,6,t,t,Entire condo,Entire home/apt,5,1.0,1 bath,2.0,3.0,213.0,91,365,91.0,91.0,1125.0,1125.0,91.0,1125.0,t,0,0,2024-09-18,154,7,2,2018-09-16,2024-08-25,4.66,4.78,4.71,4.93,4.86,STR-399153,f,3,0,0,2.1
962,27784901,2024-09-18,10717877,Shervin,2013-12-19,"New York, NY",,1.0,0.9,f,1,1,t,t,Entire townhouse,Entire home/apt,6,1.2,2 baths,3.0,1.0,213.0,29,1125,29.0,29.0,1125.0,1125.0,29.0,1125.0,t,0,0,2024-09-18,86,0,0,2018-09-05,2020-03-08,4.85,4.88,4.91,5.0,4.86,STR-383578,f,1,0,0,1.17
963,27810970,2024-09-18,188939923,Mort,2018-05-10,"Newton, MA",within an hour,1.0,0.99,f,10,10,t,t,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,84.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,t,4,46,2024-09-18,62,12,1,2018-09-02,2024-08-24,4.58,4.56,4.65,4.76,4.21,STR-415018,f,0,7,0,0.84
964,27879644,2024-09-18,201935605,Sherwin,2018-07-12,,within an hour,1.0,0.94,t,8,8,t,t,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,40.0,29,730,29.0,29.0,730.0,730.0,29.0,730.0,t,0,38,2024-09-18,31,5,0,2018-08-22,2024-08-18,4.94,4.97,4.84,5.0,4.81,,f,2,6,0,0.42
965,27879776,2024-09-18,201935605,Sherwin,2018-07-12,,within an hour,1.0,0.94,t,8,8,t,t,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,40.0,29,730,29.0,29.0,730.0,730.0,29.0,730.0,t,0,39,2024-09-18,36,6,0,2018-08-21,2024-07-03,4.81,4.81,4.75,4.94,4.5,,f,2,6,0,0.49
966,27904192,2024-09-18,20079643,Alex @ Bcohousing,2014-08-15,"Boston, MA",within an hour,1.0,0.88,t,12,22,t,t,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,2.0,306.0,75,1125,4.0,75.0,1125.0,1125.0,56.9,1125.0,t,23,83,2024-09-18,8,1,0,2018-11-11,2024-07-31,4.75,4.88,4.88,5.0,5.0,Exempt: This listing is a unit used for furnished institutional or business stays,f,11,0,0,0.11
967,27906365,2024-09-18,188939923,Mort,2018-05-10,"Newton, MA",within an hour,1.0,0.99,f,10,10,t,t,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,69.0,3,365,3.0,3.0,365.0,365.0,3.0,365.0,t,0,1,2024-09-18,61,14,1,2018-08-30,2024-08-25,4.49,4.69,4.62,4.93,4.26,STR-415018,f,0,7,0,0.83
